<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>	<OPENINT>
ГАЗПРОМ ао	D	20110910	000000	168.79	168.79	168.79	168.79	0	0
ГАЗПРОМ ао	D	20110911	000000	168.79	168.79	168.79	168.79	0	0
ГАЗПРОМ ао	D	20110912	000000	166.15	166.88	162.36	165.5	69795600	0
ГАЗПРОМ ао	D	20110913	000000	167.02	167.9	162.02	164.11	75997180	0
ГАЗПРОМ ао	D	20110914	000000	163	167.73	162.17	165.88	61848790	0
ГАЗПРОМ ао	D	20110915	000000	168.24	170.05	165.8	166	94726580	0
ГАЗПРОМ ао	D	20110916	000000	167.73	167.92	163.36	164.5	53937240	0
ГАЗПРОМ ао	D	20110917	000000	164.5	164.5	164.5	164.5	0	0
ГАЗПРОМ ао	D	20110918	000000	164.5	164.5	164.5	164.5	0	0
ГАЗПРОМ ао	D	20110919	000000	163.49	165.74	162.5	163.4	50013430	0
ГАЗПРОМ ао	D	20110920	000000	163.3	166.85	163.29	166.23	51621200	0
ГАЗПРОМ ао	D	20110921	000000	165.94	167.25	164.22	164.45	42137270	0
ГАЗПРОМ ао	D	20110922	000000	161.5	161.67	152.32	152.66	104342400	0
ГАЗПРОМ ао	D	20110923	000000	151.1	153.33	145.5	151.25	144618620	0
ГАЗПРОМ ао	D	20110924	000000	151.25	151.25	151.25	151.25	0	0
ГАЗПРОМ ао	D	20110925	000000	151.25	151.25	151.25	151.25	0	0
ГАЗПРОМ ао	D	20110926	000000	148.76	156.64	146.33	154.5	97069800	0
ГАЗПРОМ ао	D	20110927	000000	157.97	158.95	156	157	57280850	0
ГАЗПРОМ ао	D	20110928	000000	155.5	156.29	153.8	155.02	64015540	0
ГАЗПРОМ ао	D	20110929	000000	153.54	160.2	152.55	158.81	64196500	0
ГАЗПРОМ ао	D	20110930	000000	158.06	158.78	151.81	155.9	83274770	0
ГАЗПРОМ ао	D	20111001	000000	155.9	155.9	155.9	155.9	0	0
ГАЗПРОМ ао	D	20111002	000000	155.9	155.9	155.9	155.9	0	0
ГАЗПРОМ ао	D	20111003	000000	152.5	154.83	150.18	153.52	61789280	0
ГАЗПРОМ ао	D	20111004	000000	151.99	155.18	142.3	144.59	94242970	0
ГАЗПРОМ ао	D	20111005	000000	148.37	148.4	139.4	142.71	82601190	0
ГАЗПРОМ ао	D	20111006	000000	144.86	151.4	144.65	150.23	86398560	0
ГАЗПРОМ ао	D	20111007	000000	152.22	153.14	149.45	151	75516680	0
ГАЗПРОМ ао	D	20111008	000000	151	151	151	151	0	0
ГАЗПРОМ ао	D	20111009	000000	151	151	151	151	0	0
ГАЗПРОМ ао	D	20111010	000000	151.99	154.95	149.12	154.2	57812970	0
ГАЗПРОМ ао	D	20111011	000000	154.92	155.2	150.82	153	67652690	0
ГАЗПРОМ ао	D	20111012	000000	152.17	161.7	152.17	161.25	88899260	0
ГАЗПРОМ ао	D	20111013	000000	160.52	164.52	156.8	158.07	95812170	0
ГАЗПРОМ ао	D	20111014	000000	159.52	163.8	158.24	162.86	78815270	0
ГАЗПРОМ ао	D	20111015	000000	162.86	162.86	162.86	162.86	0	0
ГАЗПРОМ ао	D	20111016	000000	162.86	162.86	162.86	162.86	0	0
ГАЗПРОМ ао	D	20111017	000000	164.47	168.36	158.96	160.37	100406360	0
ГАЗПРОМ ао	D	20111018	000000	158.16	163.79	157.09	161.9	80539040	0
ГАЗПРОМ ао	D	20111019	000000	163	164.74	160.08	163.18	77630260	0
ГАЗПРОМ ао	D	20111020	000000	160.66	164.5	159.85	162.6	58379370	0
ГАЗПРОМ ао	D	20111021	000000	163.45	166.2	161.22	166.01	49832100	0
ГАЗПРОМ ао	D	20111022	000000	166.01	166.01	166.01	166.01	0	0
ГАЗПРОМ ао	D	20111023	000000	166.01	166.01	166.01	166.01	0	0
ГАЗПРОМ ао	D	20111024	000000	167.04	170.45	166.08	170	61774250	0
ГАЗПРОМ ао	D	20111025	000000	169.7	171.01	166.21	168.38	69481050	0
ГАЗПРОМ ао	D	20111026	000000	167.8	179.5	167.36	177.1	130866320	0
ГАЗПРОМ ао	D	20111027	000000	181	187.39	181	185.8	128929750	0
ГАЗПРОМ ао	D	20111028	000000	187.35	190.24	182.65	185	96820090	0
ГАЗПРОМ ао	D	20111029	000000	185	185	185	185	0	0
ГАЗПРОМ ао	D	20111030	000000	185	185	185	185	0	0
ГАЗПРОМ ао	D	20111031	000000	183.12	184.1	178.81	179.2	60486890	0
ГАЗПРОМ ао	D	20111101	000000	176.9	178.3	170.3	174.8	105659360	0
ГАЗПРОМ ао	D	20111102	000000	175.93	183.87	175.43	182.59	130315150	0
ГАЗПРОМ ао	D	20111103	000000	180.28	185.43	175.4	183.23	127899200	0
ГАЗПРОМ ао	D	20111104	000000	183.23	183.23	183.23	183.23	0	0
ГАЗПРОМ ао	D	20111105	000000	183.23	183.23	183.23	183.23	0	0
ГАЗПРОМ ао	D	20111106	000000	183.23	183.23	183.23	183.23	0	0
